Classe terapèutica,Principi actiu,Nom Comercial,CN,Dispositiu / Presentació,Dosi recomanada,Tipus de dispositiu,Petjada CO₂,Flux inspiratori,Flux Pas 4,Informació dispositiu,Fecha de Incorporación,Origen (Link CIMA),Estado de Validación,PHF,MATMA
SABA,Salbutamol,Ventolin®,656706,pMDI: 100 mcg/inhalació,"100-200 mcg c/6h si cal
(D màx. 200 mcg c/6h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
SABA,Salbutamol,Salbutamol Aldo-Union®,797183,pMDI: 100 mcg/inhalació,"100-200 mcg c/6h si cal
(D màx. 200 mcg c/6h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
SABA,Salbutamol,Ventoaldo®,652530,pMDI: 100 mcg/inhalació,"100-200 mcg c/6h si cal
(D màx. 200 mcg c/6h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
SABA,Terbutalina,Terbasmin®,723500,Turbuhaler®: 500 mcg/inh,"500 mcg si cal
(D.màx. 6000 mcg c/24h)",IPS multi,🟢,50-60 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11893,,,,,
LABA,Salmeterol,Serevent®,670497,pMDI: 25 mcg/inh,"50 mcg c/12 h
(D. Màx. 100 mcg/12h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
LABA,Salmeterol,Beglan®,667105,pMDI: 25 mcg/inh,"50 mcg c/12 h
(D. Màx. 100 mcg/12h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
LABA,Salmeterol,Betamican®,940320,pMDI: 25 mcg/inh,"50 mcg c/12 h
(D. Màx. 100 mcg/12h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
LABA,Salmeterol,Inaspir®,936989,pMDI: 25 mcg/inh,"50 mcg c/12 h
(D. Màx. 100 mcg/12h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
LABA,Salmeterol,Serevent®,670513,Accuhaler®: 50 mcg/inh,"50 mcg c/12 h
(D. Màx. 100 mcg/12h)",IPS multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11813,,,,★,
LABA,Salmeterol,Beglan®,667097,Accuhaler®: 50 mcg/inh,"50 mcg c/12 h
(D. Màx. 100 mcg/12h)",IPS multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11813,,,,★,
LABA,Salmeterol,Betamican®,939033,Accuhaler®: 50 mcg/inh,"50 mcg c/12 h
(D. Màx. 100 mcg/12h)",IPS multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11813,,,,★,
LABA,Salmeterol,Inaspir®,937318,Accuhaler®: 50 mcg/inh,"50 mcg c/12 h
(D. Màx. 100 mcg/12h)",IPS multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11813,,,,★,
LABA,Formoterol,Broncoral Neo®,652118,pMDI: 12 mcg/inh,"12 mcg c/12 h
(D. Màx. 24 mcg c/12h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
LABA,Formoterol,Oxis®,668863,Turbuhaler®: 9 mcg/inh,"12 mcg c/12 h
(D. Màx. 24 mcg c/12h)",IPS multi,🟢,50-60 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11893,,,,★,
LABA,Formoterol,Foradil®,657775,Aerolizer®: 12 mcg/inh,"12 mcg c/12 h
(D. Màx. 24 mcg c/12h)",IPS uni ,🟢,>90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11815,,,,★,
LABA,Formoterol,Formoterol Aldo-Union®,650654,Aerolizer®: 12 mcg/inh,"12 mcg c/12 h
(D. Màx. 24 mcg c/12h)",IPS uni ,🟢,>90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11815,,,,★,
LABA,Formoterol,Formoterol Stada®,650684,Aerolizer®: 12 mcg/inh,"12 mcg c/12 h
(D. Màx. 24 mcg c/12h)",IPS uni ,🟢,>90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11815,,,,★,
LABA,Formoterol,Formatris®,656120,Novolizer®: 12 mcg/inh,"12 mcg c/12 h
(D. Màx. 24 mcg c/12h)",IPS multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11882,,,,★,
LABA,Indacaterol,Onbrez®,"664465, 664467","Breezhaler®: 150, 300 mcg/inh","150 mcg c/24 h
(D. Màx. 300 mcg c/24h)",IPS uni ,🟢,>90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11816,,,,★,
LABA,Indacaterol,Hirobriz®,665951.665952,"Breezhaler®: 150, 300 mcg/inh","150 mcg c/24 h
(D. Màx. 300 mcg c/24h)",IPS uni ,🟢,>90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11816,,,,★,
LABA,Indacaterol,Oslif®,665937,"Breezhaler®: 150, 300 mcg/inh","150 mcg c/24 h
(D. Màx. 300 mcg c/24h)",IPS uni ,🟢,>90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11816,,,,★,
LABA,Olodaterol,Striverdi®,726792,Respimat®: 2.5 mcg/inh,"5 mcg c/24 h
(D.màx. 5 mcg/24 h)",IVS,🟢, 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11891,,,,,
SAMA,Bromur d'ipratropi,Atrovent®,720011,pMDI: 20 mcg/inh,"40 mcg c/6h si cal
(D.màx. 240 mcg c/24 h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
SAMA,Bromur d'ipratropi,Atroaldo®,"672312 , 605412",pMDI: 20 mcg/inh,"40 mcg c/6h si cal
(D.màx. 240 mcg c/24 h)",ICP,🔴 , 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11880,,,,★,
LAMA,Bromur de tiotropi,Spiriva®,654832,Handihaler®: 18 mcg/inh,"18 mcg c/24 h
(D.màx: 18 mcg c/24 h)",IPS uni ,🟢,<50 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11879,,,,★,
LAMA,Bromur de tiotropi,Spiriva®,725948,Respimat®: 2.5 mcg/inh,"5 mcg c/24 h
(D.màx: 5 mcg c/24 h)",IVS,🟢, 20-30 l/m,Lenta,https://scientiasalut.gencat.cat/handle/11351/11891,,,,★,
LAMA,Bromur de tiotropi,Braltus®,711251,Zonda®: 10 mcg/inh,"10 mcg c/24h
(D.màx: 10 mcg c/24h)",IPS uni ,🟢,,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11895,,,,★,
LAMA,Bromur de tiotropi,Gregal®,711250,Zonda®: 10 mcg/inh,"10 mcg c/24h
(D.màx: 10 mcg c/24h)",IPS uni ,🟢,,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11895,,,,★,
LAMA,Bromur d'aclidini,Eklira®,693094,Genuair®: 322 mcg/inh,"322 mcg c/12 h
(D.màx: 322 mcg c/12 h)",IPS multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11878,,,,,
LAMA,Bromur d'aclidini,Bretaris®,693582,Genuair®: 322 mcg/inh,"322 mcg c/12 h
(D.màx: 322 mcg c/12 h)",IPS multi,🟢,60-90 l/m,Ràpida,https://scientiasalut.gencat.cat/handle/11351/11878,,,,,
